id,source,cost,url,dateAdded,seen,ok,called,active,archived
1,realt,320,https://realt.by/rent-flat-for-long/object/3687766/,1743358177,false,false,false,false,false
2,realt,350,https://realt.by/rent-flat-for-long/object/3687744/,1743358177,false,false,false,false,false
3,realt,370,https://realt.by/rent-flat-for-long/object/3677748/,1743358177,false,false,false,false,false
4,kufar,320,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/1012313473?rank=0&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
5,kufar,400,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/1009843177?rank=1&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
6,kufar,351,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/v-novostrojke/1012311161?rank=2&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,true,true,true,true,false
7,kufar,400,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/v-novostrojke/1011607216?rank=3&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
8,kufar,400,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/v-novostrojke/1011576097?rank=4&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
9,kufar,370,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/v-novostrojke/1011483381?rank=5&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
10,kufar,400,https://re.kufar.by/vi/minsk/snyat/kvartiru-dolgosrochno/1011135897?rank=6&searchId=f2191ef2ca1a704d776c738511b109ddfae0,1743358182,false,false,false,false,false
